1976.70.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",John Sloan,,"Maid Cutting Ice, 1918"
1976.70.1 FRAME,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 12A",John Sloan,,"Maid Cutting Ice, 1918"
1976.80.18,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63P, Textile Roll # 17","Fulani peoples, or Peul peoples",,"Men's Weave Blanket, 20th century"
1976.101.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 57A",Silvia Heyden,,"Hurricane, 20th century"
1976.103.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 06B",Silvia Heyden,,"TyBee, 20th century"
1976.106.51,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 61B",Mexican,,"Huichol: Depicting  the Shooting of a Peyote -Coyote with Two Attendant Shamans, 20th century"
1977.50.40,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63I, Textile Roll # 14",Indonesian,,Batik Trade Cloth
1977.50.42,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63I, Textile Roll # 14",Indian,,Sari Length Cloth
1977.50.44,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63I, Textile Roll # 14",Indian,,Sari
1977.50.47,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 63O",Indian,,"Sari, n.d."
1977.58.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 15A",,,"The Annunciation, c. 1640"
1977.59.53,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 52A",Henri Meunier,,Poster: Rajah Woman
1977.59.55,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",French,,"Carte du Pays de Tendre, c. 1659"
1977.59.59,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 55A",Pierre Andrieu,,"Tigre Couché, 19th century"
1978.1.1,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 28A",Arthur Bowen Davies,,"The Orchard, n.d."
1978.23.9,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D, Textile Roll #2",Bolivian,,Runner
1978.23.10,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62D, Textile Roll #2",Bolivian,,Three Alpaca Runners.  Woven as a group together
1978.53.8,,"Nasher Museum Building, Nasher Painting Storage Room, Screen, 62H, Textile Roll 8",Aymara,,Manta
